id,title,category,brand,description,rag_context,image_path
B0002LCUZK,Expanding Accordion File Folder Plastic Portable Document Organizer Letter Size,Office Supplies,Amazonbasics,Expanding Accordion File Folder Plastic Portable Document Organizer Letter Size. Category: Office Supplies. Brand: Amazonbasics,Product: Expanding Accordion File Folder Plastic Portable Document Organizer Letter Size | Brand: Amazonbasics | Reviews Summary: [5/5] This folder also expands on the bottom. Will allow A LOT more than when the bottom does not expand. Bought a second. I recommended this to my friends. || [5/5] Exactly what I needed. || [5/5] Nice product. Will work perfectly for my projects. Nice and sturdy. Thank you!,data\images\B0002LCUZK.jpg
B001NIZB5M,Amazon Kindle Replacement Power Adapter (Fits Latest Generation Kindle and Kindle DX) For shipment in the U.S only,Electronics,Amazon,Amazon Kindle Replacement Power Adapter (Fits Latest Generation Kindle and Kindle DX) For shipment in the U.S only. Category: Electronics. Brand: Amazon,"Product: Amazon Kindle Replacement Power Adapter (Fits Latest Generation Kindle and Kindle DX) For shipment in the U.S only | Brand: Amazon | Reviews Summary: [5/5] Since the details for the items are a little sparse I thought I would provide the specs listed on the power adapter.AC Input 100-240 Volts, 0.15 Amps, 50/60 HzDC Output 4.9 Volts, 0.85 AmpsThis adapte || [1/5] I was initially happy that my Kindle replacement charging cord arrived so promptly, it seemed to work fine. But after only one use, the outer covering of the cord started cracking falling off in bits. || [5/5] I bought the Kindle when I was in the USA but on my return to Australia I discovered I left the power adapter behind in my condo in the USA. For some reason Amazon cannot or will not mail a replacemen",data\images\B001NIZB5M.jpg
B005OOKNP4,AmazonBasics Bluetooth Keyboard for Android Devices - Black,Electronics,AmazonBasics,AmazonBasics Bluetooth Keyboard for Android Devices - Black. Category: Electronics. Brand: AmazonBasics,"Product: AmazonBasics Bluetooth Keyboard for Android Devices - Black | Brand: AmazonBasics | Reviews Summary: [4/5] Like a lot of reviewers here, I struggled to find the right Bluetooth keyboard to go with my Kindle Fire HD. In the end, I decided to go with the Amazon one, figuring that because Amazon made the Fire || [4/5] Using this with my Samsung Galaxy Note. Overall works fine, even though I'm on Gingerbread and not 3.0. Slim and lightweight. Pairs instantly. Some specialty keys don't work, but I'm not concerned as  || [5/5] It's a bit smaller than Apple's wireless keyboard but still easy to type on. Comes with 2 AAA batteries. Has a physical on/off switch and also a button to push for paring. Would be great if it came in",data\images\B005OOKNP4.jpg
B006BGZJJ4,Amazon Kindle Charger Power Adapter Wall Charger And Usb Cable Micro Usb Cord,Electronics,Amazon,Amazon Kindle Charger Power Adapter Wall Charger And Usb Cable Micro Usb Cord. Category: Electronics. Brand: Amazon,"Product: Amazon Kindle Charger Power Adapter Wall Charger And Usb Cable Micro Usb Cord | Brand: Amazon | Reviews Summary: [5/5] I wanted a new cord for my kindal and I wanted one like the one that came with my kindal. This was not what was as described. It's not white or anything like the original. It did ship quickly. I seldo || [5/5] Exactly what I needed. Works well. good length cord, good value and got here quickly. || [5/5] Wow! This charger is amazing! It charges like lightning! None of my old chargers can hold a candle to this one. Usually charges within 10 and 30 minutes. Nice length on cord. Quality is outstanding! W",data\images\B006BGZJJ4.jpg
B006GWO7UA,Kindle PowerFast International Charging Kit (for accelerated charging in over 200 countries),Electronics,Amazon,Kindle PowerFast International Charging Kit (for accelerated charging in over 200 countries). Category: Electronics. Brand: Amazon,"Product: Kindle PowerFast International Charging Kit (for accelerated charging in over 200 countries) | Brand: Amazon | Reviews Summary: [5/5] I travel internationally at least once a year and wanted an EASY way to charge my Kindle Fire HD. The design of this system is great. It's one basic plug and cord with changeable heads. It's easy to u || [5/5] Works on my kindle, Samsung Galaxy Note and my IPod Touch!!! Love this multi-funtional charger! I didn't need the international kit but i wasn't sure...maybe on day it will come in handy. || [5/5] I recently went out of the country and took this charging kit with me. Changing the different plugs adapters was extremely easy, and I had no problems with the setup and charging my Kindle. In fact th",data\images\B006GWO7UA.jpg
B006LW0W5Y,AmazonBasics 16-Gauge Speaker Wire - 100 Feet,Electronics,Amazonbasics,AmazonBasics 16-Gauge Speaker Wire - 100 Feet. Category: Electronics. Brand: Amazonbasics,Product: AmazonBasics 16-Gauge Speaker Wire - 100 Feet | Brand: Amazonbasics | Reviews Summary: [5/5] As advised. Came really fast || [5/5] as described. || [5/5] great wires.,data\images\B006LW0W5Y.jpg
B00BGIQS1A,Oem Amazon Kindle Power Usb Adapter Wall Travel Charger Fire/dx/+micro Usb Cable,Electronics,Amazon,Oem Amazon Kindle Power Usb Adapter Wall Travel Charger Fire/dx/+micro Usb Cable. Category: Electronics. Brand: Amazon,Product: Oem Amazon Kindle Power Usb Adapter Wall Travel Charger Fire/dx/+micro Usb Cable | Brand: Amazon | Reviews Summary: [1/5] Is Amazon kidding me They want me to pay 19.99 for an item that is a critical part of the functioning of their product Outrageous. I will find another 5V charger. || [1/5] I bought this thinking that I needed it but I didnt so it was a waste of money. I do so hate to waste money. the Kindle can hook to a regular cell phone charger and it comes with a cable that connects || [1/5] One star because this should've been included when I purchased my Kindles. Bought this second one because I have three paper whites and got tired of playing musical charge chairs. And if Amazon would ,data\images\B00BGIQS1A.jpg
B00DIHVMEA,AmazonBasics Nylon CD/DVD Binder (400 Capacity),Electronics,Amazonbasics,AmazonBasics Nylon CD/DVD Binder (400 Capacity). Category: Electronics. Brand: Amazonbasics,"Product: AmazonBasics Nylon CD/DVD Binder (400 Capacity) | Brand: Amazonbasics | Reviews Summary: [5/5] Great case to keep everything in its place! My husband love it!!!! Holds a lot of cds! || [5/5] After discarding and getting rid of broken cd cases, broken cds, and selecting those ones we really like, this binder turned up to be an excellent option to store our favourite cds and dvds and keep t || [5/5] A few dollars more, but I am boycotting amazon",data\images\B00DIHVMEA.jpg
B00DUGZFWY,AmazonBasics 15.6-Inch Laptop and Tablet Bag,Electronics,Amazonbasics,AmazonBasics 15.6-Inch Laptop and Tablet Bag. Category: Electronics. Brand: Amazonbasics,"Product: AmazonBasics 15.6-Inch Laptop and Tablet Bag | Brand: Amazonbasics | Reviews Summary: [4/5] The larger one was bought for me as part of a Christmas gift...I enjoyed mine so much that I bought this one for a birthday gift.....sturdy, stylish, padded and protects well. Good buy for the price || [4/5] For the price very good value and its lasting well || [5/5] holds everything laptop,amp,mini external memory drive,headphones,3d glasses,tablet cables,and still have 2 extra pockets awesome,well made product. thank you !",data\images\B00DUGZFWY.jpg
B00EEBS9O0,AmazonBasics Backpack for Laptops up to 17-inches,Electronics,Amazonbasics,AmazonBasics Backpack for Laptops up to 17-inches. Category: Electronics. Brand: Amazonbasics,"Product: AmazonBasics Backpack for Laptops up to 17-inches | Brand: Amazonbasics | Reviews Summary: [4/5] This is a very basic, functional backpack that does the job that it when designed for. Unlike other, more expensive models, this one does not have the feel or look of something that you would show off || [5/5] I purchase two of these backpacks for my wife and son's laptops. The case is well constructed and has many compartments. Its a great backpack for the price. || [5/5] Love the backpack....lots of pockets for all my needs...when i travel it fits everything for my travel...makes a lot easier",data\images\B00EEBS9O0.jpg
B00F5CKWBA,AmazonBasics External Hard Drive Case,Electronics,Amazonbasics,AmazonBasics External Hard Drive Case. Category: Electronics. Brand: Amazonbasics,"Product: AmazonBasics External Hard Drive Case | Brand: Amazonbasics | Reviews Summary: [5/5] I have the Western Digital My Passport Ultra 2TB USB 3.0 Portable Drive 2.5 (laptop size) external hard drive. The hard drives case is mostly plastic with a thin pretty metal sheet top that's more for || [5/5] I read the review that says it is NOT like the one pictured, and as far as my order goes, that is a false statement. The case is EXACTLY like the ones Amazon offers, just cheaper and with free shippin || [5/5] Case is well made and fits my WD Passport drive perfectly with enough room for the usb cable.",data\images\B00F5CKWBA.jpg
B00IOY8XWQ,"Kindle Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Wi-Fi - Includes Special Offers",Electronics,Amazon,"Kindle Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Wi-Fi - Includes Special Offers. Category: Electronics. Brand: Amazon","Product: Kindle Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Wi-Fi - Includes Special Offers | Brand: Amazon | Reviews Summary: [5/5] I bought this so i can save all of my books. It was a bit small at first but you get used to it. Overall i am very satistfy || [5/5] I bought this as a gift. I think it is pretty decent both quality and design. || [5/5] This is a great e-reader, perhaps a little pricey but well worth the money. It is extremely light and the e-ink is very readable.",data\images\B00IOY8XWQ.jpg
B00IOYAM4I,"Kindle Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Free 3G + Wi-Fi - Includes Special Offers","Electronics,Media",Amazon,"Kindle Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Free 3G + Wi-Fi - Includes Special Offers. Category: Electronics,Media. Brand: Amazon","Product: Kindle Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Free 3G + Wi-Fi - Includes Special Offers | Brand: Amazon | Reviews Summary: [5/5] best e reader to date. yes it's a bit pricey, but it reads like a real book. || [4/5] the back light nad easier to read in all lightings || [5/5] Pricey? Yes... For serious readers and users of library e-books, completly worth it. While nothing beats a real book experience, traveling 4 days plus per week nothing beats the portability and abilit",data\images\B00IOYAM4I.jpg
B00NH144GK,AmazonBasics USB 3.0 Cable - A-Male to B-Male - 6 Feet (1.8 Meters),Electronics,Amazonbasics,AmazonBasics USB 3.0 Cable - A-Male to B-Male - 6 Feet (1.8 Meters). Category: Electronics. Brand: Amazonbasics,"Product: AmazonBasics USB 3.0 Cable - A-Male to B-Male - 6 Feet (1.8 Meters) | Brand: Amazonbasics | Reviews Summary: [5/5] This is a good length cable for those that don't want tight connections because a cable is too short. I alternate back and forth between using two printers so having a longer cable allows me to keep t || [5/5] I found this wire to be of good quality. It performed as well as any other USB 3.0 cable and, to the extent that you would prefer something 'in black', this is the one to go. Amazon sells them in seve || [5/5] I am using the 3' version of this cable and it works great. It work well with my external Seagate 3.0 drive. I just connected it and it worked flawlessly. The cable is sturdy and is gold plated for be",data\images\B00NH144GK.jpg
B00OP6SMCI,Two Door Top Load Pet Kennel Travel Crate Dog Cat Pet Cage Carrier Box Tray 23',Animals & Pet Supplies,Amazonbasics,Two Door Top Load Pet Kennel Travel Crate Dog Cat Pet Cage Carrier Box Tray 23'. Category: Animals & Pet Supplies. Brand: Amazonbasics,"Product: Two Door Top Load Pet Kennel Travel Crate Dog Cat Pet Cage Carrier Box Tray 23' | Brand: Amazonbasics | Reviews Summary: [5/5] Sturdy, lightweight, tops lifts for easy access to pet , easy to lean and not bulky. Carrier will easily fit on your lap in the car. A+",data\images\B00OP6SMCI.jpg
B00QAVNWSK,AmazonBasics Double-Door Folding Metal Dog Crate - Medium (36x23x25 Inches),Animals & Pet Supplies,AmazonBasics,AmazonBasics Double-Door Folding Metal Dog Crate - Medium (36x23x25 Inches). Category: Animals & Pet Supplies. Brand: AmazonBasics,Product: AmazonBasics Double-Door Folding Metal Dog Crate - Medium (36x23x25 Inches) | Brand: AmazonBasics | Reviews Summary: [4/5] I am very pleased with the dog crate. Very sturdy. No damage or flaws. Was better than some others that I have purchased in a retail store. || [3/5] The price of the item was very good compared to other cages however the item itself came tilted so now my dog has a tilted dog crate. The tilt to the gates are noticeable but not very drastic. For the,data\images\B00QAVNWSK.jpg
B00QAVO43C,AmazonBasics Single-Door Folding Metal Dog Crate - Large (42x28x30 Inches),Animals & Pet Supplies,AmazonBasics,AmazonBasics Single-Door Folding Metal Dog Crate - Large (42x28x30 Inches). Category: Animals & Pet Supplies. Brand: AmazonBasics,"Product: AmazonBasics Single-Door Folding Metal Dog Crate - Large (42x28x30 Inches) | Brand: AmazonBasics | Reviews Summary: [5/5] It's great, study enough to hold the beast.",data\images\B00QAVO43C.jpg
B00QFQRELG,Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders,Electronics,Amazon,Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders. Category: Electronics. Brand: Amazon,Product: Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders | Brand: Amazon | Reviews Summary: [5/5] It seems to work just like any other usb plug in charger. || [5/5] got this for my kindle 7 tablet . Does an excellent job charging the kindle fire 7 a lot faster than the one it came with the kindle fire || [5/5] Best kindle charger ever. Took 30 minutes to being my kindle back to life.,data\images\B00QFQRELG.jpg
B00QWO9P0O,AmazonBasics AAA Performance Alkaline Batteries (36 Count),Health & Beauty,Amazonbasics,AmazonBasics AAA Performance Alkaline Batteries (36 Count). Category: Health & Beauty. Brand: Amazonbasics,Product: AmazonBasics AAA Performance Alkaline Batteries (36 Count) | Brand: Amazonbasics | Reviews Summary: [3/5] I order 3 of them and one of the item is bad quality. Is missing backup spring so I have to put a pcs of aluminum to make the battery work. || [4/5] Bulk is always the less expensive way to go for products like these || [5/5] Well they are not Duracell but for the price i am happy.,data\images\B00QWO9P0O.jpg
B00REQKWGA,"Kindle Oasis E-reader with Leather Charging Cover - Black, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers",Electronics,Amazon,"Kindle Oasis E-reader with Leather Charging Cover - Black, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers. Category: Electronics. Brand: Amazon","Product: Kindle Oasis E-reader with Leather Charging Cover - Black, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers | Brand: Amazon | Reviews Summary: [5/5] Kindles are an excellent device for all book lovers || [5/5] I read a lot and have loved my kindle paperwhite and used it all the time. I didn't think it could get any better! I read all about the kindle Oasis and it sounded great but the price was freaking me  || [5/5] Very nice Kindle with a great Battery life. My old kindle was not able to upgrade so I got the new Kindle and very pleased with the product. Arrived as promised from BESTBUY.COM.",data\images\B00REQKWGA.jpg
B00UH4D8G2,Certified Refurbished Amazon Fire TV with Alexa Voice Remote,Electronics,Amazon,Certified Refurbished Amazon Fire TV with Alexa Voice Remote. Category: Electronics. Brand: Amazon,"Product: Certified Refurbished Amazon Fire TV with Alexa Voice Remote | Brand: Amazon | Reviews Summary: [1/5] Certified garbage! Lesson learned about paying attention to reviews. Fire TV box and remote was packaged like new, even included new batteries. After plugging it in it would only show Amazon logo and  || [5/5] Love it, had the stick and it was kinda slow navigating. This one is much faster. Was going to use this and cancel cable. When I told my cable company I wanted to cancel and I was just going to stream || [5/5] This box is wonderful, meets my expectations plus some. I gave up cable and tried it. I don't watch a lot of movies but this box comes with a lot of selections in my opinion more than basic cable, and",data\images\B00UH4D8G2.jpg
B00VINDBJK,"Kindle Oasis E-reader with Leather Charging Cover - Merlot, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers","Electronics,Media",Amazon,"Kindle Oasis E-reader with Leather Charging Cover - Merlot, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers. Category: Electronics,Media. Brand: Amazon","Product: Kindle Oasis E-reader with Leather Charging Cover - Merlot, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers | Brand: Amazon | Reviews Summary: [5/5] Kindles are an excellent device for all book lovers || [5/5] I read a lot and have loved my kindle paperwhite and used it all the time. I didn't think it could get any better! I read all about the kindle Oasis and it sounded great but the price was freaking me  || [5/5] Very nice Kindle with a great Battery life. My old kindle was not able to upgrade so I got the new Kindle and very pleased with the product. Arrived as promised from BESTBUY.COM.",data\images\B00VINDBJK.jpg
B00VKTZFB4,Echo Dot (Previous generation),Electronics,Amazon,Echo Dot (Previous generation). Category: Electronics. Brand: Amazon,"Product: Echo Dot (Previous generation) | Brand: Amazon | Reviews Summary: [4/5] I already have the Amazon Echo so this was just an additional one for my office. I think these gadgets are great. Set alarms, timers, get your local weather and who won the game last night. It can do ",data\images\B00VKTZFB4.jpg
B00WRDS8H0,AmazonBasics Ventilated Adjustable Laptop Stand,Electronics,Amazonbasics,AmazonBasics Ventilated Adjustable Laptop Stand. Category: Electronics. Brand: Amazonbasics,"Product: AmazonBasics Ventilated Adjustable Laptop Stand | Brand: Amazonbasics | Reviews Summary: [5/5] With an Income Tax Preparation practice I'm on my laptop 10 hours a day entering data. Using the laptop keyboard and mouse pad on the flat and level angle that laptops offer is stressful. An elevated  || [4/5] Simple in its design, with multiple angles, the mesh keeps your laptop cool, the cord keeper in back keeps organized, and the surface area is great for a 15.6 laptop. I think this would also work for  || [5/5] Can't seem to say enough about this awesome stand. This allows me to utilize my laptop monitor and a second flawlessly. The cord keep on the back is great as well. I am about to purchase another monit",data\images\B00WRDS8H0.jpg
B00XNQECFM,Amazon Fire TV Gaming Edition Streaming Media Player,Electronics,Amazon,Amazon Fire TV Gaming Edition Streaming Media Player. Category: Electronics. Brand: Amazon,Product: Amazon Fire TV Gaming Edition Streaming Media Player | Brand: Amazon | Reviews Summary: [5/5] Works excellent love it. Easy to use || [4/5] The item seems to have a 'ton' of items to view - just wish it came with some directions on use. Otherwise product is great. || [5/5] This has great possibilities for the ARMCHAIR POTATO by expanding what is available to view. I would recommend this to anyone.,data\images\B00XNQECFM.jpg
B00Y3QOH5G,Amazon Echo (1st Generationcertified) Color:White Free Shipping,Electronics,Amazon,Amazon Echo (1st Generationcertified) Color:White Free Shipping. Category: Electronics. Brand: Amazon,"Product: Amazon Echo (1st Generationcertified) Color:White Free Shipping | Brand: Amazon | Reviews Summary: [5/5] We have several echoes and dots throughout our house, we use it to listen to music, check the weather, traffic, adjust settings on our smart home devices, create shopping lists, use it as a kitchen ti || [5/5] The Amazon Echo is a really fun thing to play with. We always try to find new things to say to it which would make it say something funny. The Echo has been the most helpful in our home for creating s || [5/5] The Amazon Echo is a really fun thing to play with. We always try to find new things to say to it which would make it say something funny.The Echo has been the most helpful in our home for creating sh",data\images\B00Y3QOH5G.jpg
B00ZS0G0PG,"Kindle Oasis E-reader with Leather Charging Cover - Walnut, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers","Electronics,Media",Amazon,"Kindle Oasis E-reader with Leather Charging Cover - Walnut, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers. Category: Electronics,Media. Brand: Amazon","Product: Kindle Oasis E-reader with Leather Charging Cover - Walnut, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers | Brand: Amazon | Reviews Summary: [5/5] Kindles are an excellent device for all book lovers || [5/5] I read a lot and have loved my kindle paperwhite and used it all the time. I didn't think it could get any better! I read all about the kindle Oasis and it sounded great but the price was freaking me  || [5/5] Very nice Kindle with a great Battery life. My old kindle was not able to upgrade so I got the new Kindle and very pleased with the product. Arrived as promised from BESTBUY.COM.",data\images\B00ZS0G0PG.jpg
B00ZV9PXP2,"All-New Kindle E-reader - Black, 6' Glare-Free Touchscreen Display, Wi-Fi - Includes Special Offers",Electronics,Amazon,"All-New Kindle E-reader - Black, 6' Glare-Free Touchscreen Display, Wi-Fi - Includes Special Offers. Category: Electronics. Brand: Amazon","Product: All-New Kindle E-reader - Black, 6' Glare-Free Touchscreen Display, Wi-Fi - Includes Special Offers | Brand: Amazon | Reviews Summary: [4/5] thought rice was a little high but now that i have one, it is worth every penny. have not had any problems with it and not bothered by not having a backlight || [5/5] I am 100 happy with my purchase. I caught it on sale at a really good price. I am normally a real book person, but I have a 1 year old who loves ripping up pages. The Kindle prevents that, it's extrem || [4/5] This is a nice bare-bones reading device. Easy to set up and use. My greatest issue is that it isn't back lit so it can't be used w/o a light on in the room. Returning it an purchasing a paperwhite in",data\images\B00ZV9PXP2.jpg
B00ZV9RDKK,Fire TV Stick Streaming Media Player Pair Kit,Electronics,Amazon,Fire TV Stick Streaming Media Player Pair Kit. Category: Electronics. Brand: Amazon,"Product: Fire TV Stick Streaming Media Player Pair Kit | Brand: Amazon | Reviews Summary: [5/5] Pros: Works good like Alexia Cons: setting it up is a , HASLE had to call verizon three times Other Thoughts: I WOULD RECOMMEND IT || [5/5] Pros: Relatively easy to setup and works quite reliably. Cons: The mirror cast function didn't seem to work well displaying video while it was steaming to a Windows 10 laptop. Other Thoughts: This pro || [5/5] Pros: I WOULD recommend anyone who was going to purchase anything , newegg is the BEST PLACE TO LOOK ! Cons: No compaints",data\images\B00ZV9RDKK.jpg
B010CEHQTG,Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7' Screen,"Electronics,Hardware",Amazon,"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7' Screen. Category: Electronics,Hardware. Brand: Amazon","Product: Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7' Screen | Brand: Amazon | Reviews Summary: [5/5] Great Gift for anyone. Very easy to setup. Coexist with all IOT Devices. Alexa is AWESOME! || [5/5] Super excited to give this as a gift. It's super convenient that Best Buy has Echo products in store instead of having to purchase from Amazon. || [5/5] We bought this for mother in law, buying another for me.",data\images\B010CEHQTG.jpg
B010RLCH2U,AmazonBasics Nespresso Pod Storage Drawer - 50 Capsule Capacity,Home & Garden,AmazonBasics,AmazonBasics Nespresso Pod Storage Drawer - 50 Capsule Capacity. Category: Home & Garden. Brand: AmazonBasics,Product: AmazonBasics Nespresso Pod Storage Drawer - 50 Capsule Capacity | Brand: AmazonBasics | Reviews Summary: [5/5] I work for Nespresso so I have a lot of capsules. I absolutely LOVE the capsule drawers. So much neater than having the sleeves piled on top of each other.,data\images\B010RLCH2U.jpg
B017JG41PC,"Kindle E-reader - White, 6 Glare-Free Touchscreen Display, Wi-Fi - Includes Special Offers","Office Supplies,Electronics",Amazon,"Kindle E-reader - White, 6 Glare-Free Touchscreen Display, Wi-Fi - Includes Special Offers. Category: Office Supplies,Electronics. Brand: Amazon","Product: Kindle E-reader - White, 6 Glare-Free Touchscreen Display, Wi-Fi - Includes Special Offers | Brand: Amazon | Reviews Summary: [5/5] I am enjoying my Kindle very much! Easy to down load books and easy to read! Very happy with my purchase! || [5/5] This is an awesome product.I also own a paperwhite, if you always read in good lighting I would recommend you save some money and buy this instead of the paperwhite. || [5/5] I'm a longtime Kindle user and jumped at the opportunity to bring my granddaughter into the fold with this gift. She loved it!",data\images\B017JG41PC.jpg
B0189XYY0Q,"Fire HD 10 Tablet, 10.1 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Silver Aluminum","Office Supplies,Electronics",Amazon,"Fire HD 10 Tablet, 10.1 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Silver Aluminum. Category: Office Supplies,Electronics. Brand: Amazon","Product: Fire HD 10 Tablet, 10.1 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Silver Aluminum | Brand: Amazon | Reviews Summary: [5/5] I was initially going to just get the Amazon Kindle but I thought this gives me a tablet and a easy way to read books. I buy e-college texts. It has helped me so much!! I'm so happy I invested my mone || [5/5] This was an Xmas gift for my wife. She had wanted a pad of some sort but I just couldn't afford an Ipad so I looked at the Fire as an alternative. First the screen size was just what I wanted. Second  || [5/5] Bought an IPad and didn't like it. Returned it and got the Fire 10.1. This is my third Fire, love it....no.learning curve.",data\images\B0189XYY0Q.jpg
